Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Patriot Burst Elite  ,1.92 TB,$89.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,89.99
 Seagate FireCuda 530 w/Heatsink  ,1 TB,$109.93,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,109.93
 PNY CS3140  ,1 TB,$92.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,92.99
 TEAMGROUP EX2  ,512 GB,$33.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,33.99
 Patriot Burst Elite  ,960 GB,$54.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,54.99
 Corsair MP600 MICRO  ,1 TB,$89.99,SSD,M.2-2242,M.2 PCIe 4.0 X4,0, 0,89.99
 Kingston Q500  ,960 GB,$63.49,SSD,"2.5""",SATA 6.0 Gb/s,4, 2,63.49
 Samsung 850 Pro  ,2 TB,$320.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 4,320.0
 ADATA XPG GAMMIX S11 Pro  ,512 GB,$99.19,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 5,99.19
 Seagate FireCuda 530  ,500 GB,$89.95,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,89.95
 Oyen Digital E18-8TBICS5  ,8 TB,$839.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,839.0
 ADATA Ultimate SU650  ,480 GB,$42.24,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,42.24
 Inland Professional  ,1 TB,$62.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 5,62.99
 Corsair MP600 PRO LPX  ,4 TB,$339.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,339.99
 Corsair MP600 PRO LPX  ,500 GB,$59.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,59.99
 Addlink S70  ,512 GB,$42.44,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,42.44
 ADATA LEGEND 840  ,1 TB,$99.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,99.99
