Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 GameMax RGB Rainbow  ,ATX, Rating80+ Gold,550 W,Full,0, 0,
 EVGA SuperNOVA 850 G6  ,ATX, Rating80+ Gold,850 W,Full,5, 10,$179.99
 be quiet! Pure Power 9 CM  ,ATX, Rating80+ Bronze,600 W,Semi,5, 1,$145.90
 Corsair CX650M  ,ATX, Rating80+ Bronze,650 W,Semi,5, 150,
 Silverstone FX350-G  ,Flex ATX, Rating80+ Gold,350 W,No,5, 1,$96.99
 be quiet! Straight Power 11 750W  ,ATX, Rating80+ Gold,750 W,Full,5, 12,$260.00
 EVGA SuperNOVA 750 G3  ,ATX, Rating80+ Gold,750 W,Full,5, 188,$307.99
 Deepcool PX1000G WH  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$160.98
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,1200 W,Full,0, 0,$169.90
 Cooler Master XG850 Plus  ,ATX, Rating80+ Platinum,850 W,Full,5, 1,$154.99
 NZXT C750 ,ATX, Rating80+ Bronze,750 W,No,0, 0,
